timestamp,level,ue_id,src,dst,success_rate
1,link,,SMF_10,UPF_7,0.998805
1,link,,AMF_1,gNB_8,0.998054
1,link,,AMF_2,gNB_9,0.998094
1,link,,PCF_5,SMF_9,0.998797
1,link,,AMF_4,SMF_4,0.997584
1,link,,PCF_4,SMF_10,0.998058
1,link,,AMF_4,gNB_2,0.997283
1,link,,AMF_7,gNB_16,0.997085
1,link,,SMF_3,UPF_10,0.997303
1,link,,AMF_7,gNB_3,0.997257
1,link,,SMF_8,UPF_9,0.998883
1,link,,PCF_2,SMF_5,0.997079
1,link,,AMF_7,gNB_15,0.99761
1,link,,AMF_6,gNB_3,0.997144
1,link,,AMF_4,SMF_2,0.99821
1,link,,AMF_3,SMF_3,0.997281
1,link,,AMF_6,gNB_15,0.997249
1,link,,SMF_8,UPF_3,0.99809
1,link,,AMF_5,SMF_1,0.997365
1,link,,PCF_6,SMF_5,0.998291
1,link,,AMF_4,gNB_8,0.998152
1,link,,AMF_2,gNB_11,0.997152
1,link,,SMF_2,UPF_8,0.997162
1,link,,AMF_6,gNB_6,0.99882
1,link,,SMF_10,UPF_10,0.997142
1,link,,SMF_6,UPF_3,0.998367
1,link,,AMF_1,gNB_15,0.998865
1,link,,AMF_7,gNB_14,0.997108
1,link,,AMF_7,SMF_6,0.997379
1,link,,SMF_4,UPF_5,0.997721
1,link,,AMF_6,SMF_6,0.997751
1,link,,SMF_9,UPF_9,0.997528
1,link,,SMF_1,UPF_9,0.997282
1,link,,AMF_7,SMF_8,0.99732
1,link,,AMF_2,gNB_10,0.997778
1,link,,AMF_4,gNB_16,0.998615
1,link,,AMF_5,SMF_9,0.998925
1,link,,SMF_4,UPF_2,0.997861
1,link,,SMF_1,UPF_3,0.998466
1,link,,PCF_3,SMF_7,0.997541
1,link,,SMF_6,UPF_11,0.997696
1,link,,AMF_5,SMF_2,0.99754
1,link,,AMF_7,SMF_3,0.997893
1,link,,PCF_3,SMF_3,0.998539
1,link,,AMF_4,SMF_10,0.998029
1,link,,AMF_6,SMF_3,0.997918
1,link,,PCF_2,SMF_6,0.997246
1,link,,AMF_1,SMF_7,0.997687
1,link,,AMF_2,gNB_7,0.997861
1,link,,PCF_6,SMF_6,0.998331
1,link,,SMF_1,UPF_11,0.9981
1,link,,PCF_2,SMF_8,0.998418
1,link,,AMF_1,SMF_3,0.998448
1,link,,SMF_9,UPF_1,0.997028
1,link,,SMF_1,UPF_6,0.998552
1,link,,SMF_1,UPF_1,0.997944
1,link,,AMF_3,gNB_9,0.997781
1,link,,PCF_6,SMF_8,0.998055
1,link,,AMF_5,gNB_1,0.998593
1,link,,PCF_2,SMF_3,0.998587
1,link,,SMF_3,UPF_5,0.997091
1,link,,AMF_4,gNB_17,0.998207
1,link,,PCF_5,SMF_4,0.997211
1,link,,SMF_9,UPF_7,0.99743
1,link,,SMF_7,UPF_4,0.998697
1,link,,AMF_3,SMF_9,0.997081
1,link,,SMF_3,UPF_2,0.998992
1,link,,SMF_1,UPF_7,0.998338
1,link,,PCF_5,SMF_2,0.998792
